#tested_degree,N_s,N_t,N,n_runs,msd,pvalue
in,10,10,10000,1000,0,0.262454391544
in,30,30,10000,1000,0,0.394623240176
in,30,100,10000,1000,0,0.817698161052
in,100,100,10000,1000,0,0.817698161052
in,1000,1000,10000,1000,0,0.202111697953
in,100,100,1000,1000,0,0.0612124864528
in,100,100,10000,1000,0,0.817698161052
in,100,100,100000,1000,0,0.0673481373275
out,10,10,10000,1000,0,0.0281417548007
out,30,30,10000,1000,0,0.686323769114
out,30,100,10000,1000,0,0.686323769114
out,100,100,10000,1000,0,0.135428541705
out,1000,1000,10000,1000,0,0.0798146962181
out,100,100,1000,1000,0,0.164568970258
out,100,100,10000,1000,0,0.135428541705
out,100,100,100000,1000,0,0.625400209958
