#tested_degree,N_s,N_t,N,n_runs,msd,pvalue
in,10,10,10000,1000,0,0.589304819036
in,30,30,10000,1000,0,0.806904491706
in,30,100,10000,1000,0,0.409204899995
in,100,100,10000,1000,0,0.409204899995
in,1000,1000,10000,1000,0,0.402753737033
in,100,100,1000,1000,0,0.581582446697
in,100,100,10000,1000,0,0.409204899995
in,100,100,100000,1000,0,0.941685755601
out,10,10,10000,1000,0,0.233172783147
out,30,30,10000,1000,0,0.00380257749399
out,30,100,10000,1000,0,0.907964372167
out,100,100,10000,1000,0,0.773648253803
out,1000,1000,10000,1000,0,0.354663111159
out,100,100,1000,1000,0,0.502073036305
out,100,100,10000,1000,0,0.679850532337
out,100,100,100000,1000,0,0.693167494684
